Artista,Album,Genero,Ano,Nome,Duracao,Classificação,Reproducoes,DataAdicao,UltimaReproducao
"Andre Mehmari, Célio Barros & Sérgio Reze",Odisséia,Jazz,,Abertura,6:19,,,20/03/2020 10:44,
CéU,Ao Vivo Bem Brasil,MPB,2007,Abertura,0:44,,,20/03/2020 10:44,
Dionisio Azevedo,A Arca de Noé vol. 2,Infantil,,Abertura,11:54,,,20/03/2020 10:44,
Dionisio Azevedo,Casa de Brinquedos,Infantil,,Abertura,3:10,,,20/03/2020 10:44,
Duo Gisbranco,Gisbranco,MIB,,Abertura,5:35,,,20/03/2020 10:44,
Egberto Gismonti,Fantasia,MIB,1982,Abertura,1:40,,,20/03/2020 10:44,
Galinha Pintadinha,Galinha Pintadinha Vol. 2,Infantil,2010,Abertura,0:37,,,20/03/2020 10:44,
Milágrimas,Milágrimas,MPB,2006,Abertura,5:44,,,20/03/2020 10:44,
Milton Nascimento,Missa dos Quilombos,MPB,1982,Abertura,3:05,,,20/03/2020 10:44,
Milton Nascimento e Davi Kopenawa Yanomami,Txai,MPB,1990,Abertura,1:17,,,20/03/2020 10:44,
Various Artists,Castelo Ra-Tim-Bum,Infantil,,Abertura,1:00,,,20/03/2020 10:44,
